name;rating;categories;benefits;description
L-Cysteine;Good;Antioxidant;Anti-Aging;
Lecithin;Best;Emollient, Emulsifier, Cleansing Agent;Hydration;Lecithin’s appearance as a raw material varies based on the origin and extraction process, but in cosmetic use it typically presents as a viscous liquid or as powder. In a safety assessment conducted in 2020, the highest concentration of lecithin that was reported was 50% in a leave-on foot product, which was deemed safe. Facial skin care products typically safely contain much lower concentrations than that, usually between 0.5-2%.
Lemon;Worst;Fragrance: Synthetic and Natural, Irritant, Antioxidant;;Citrus fruit that’s a potent skin sensitizer.The juice from lemon is often touted as being a natural option for brightening skin. The truth is that lemon juice is highly acidic (has a very low pH of 2) and exceedingly sensitizing to skin. Lemon juice applied to skin can cause photosensitivty on exposure to sunlight, which is due to a volatile fragrance chemical known as limonene, which is abundant in lemon juice. Lemon, whether in juice or oil form, is a must to avoid in cosmetics.
Lemon Balm;Worst;Fragrance: Synthetic and Natural, Irritant, Plant Extracts;;
Lemongrass Extract;Worst;Fragrance: Synthetic and Natural, Plant Extracts, Antioxidant;;Extract that can have beneficial properties, but it also may be a skin sensitizer.
Lemongrass Oil;Worst;Fragrance: Synthetic and Natural, Irritant;;Also known as Oil of Verbena. As a volatile fragrant oil, it contains compounds (including limonene and citral) that can cause sensitivity when applied to skin.
Lemon Juice;Worst;Irritant, Fragrance: Synthetic and Natural, Plant Extracts;;The juice from the citrus fruit lemon, often touted in the world of skin care as being a natural option for brightening skin. The truth is that lemon juice is highly acidic, with a very low pH that’s exceedingly sensitizing to skin. Lemon juice has a pH of 2, and comparing an ingredient with that pH to just one number up (that being pH 3) is like the difference between a minor tremor in the ground and a catastrophic earthquake. Lemon juice applied to skin can cause photosensitivity, which is due to a volatile fragrance chemical known as limonene, which is abundant in lemon juice. Bottom line: There’s no research showing that lemon juice has a positive effect on brightening an uneven skin tone, yet it’s clear this ingredient is a potent skin sensitizer. Given its antioxidant content, lemon juice has its benefits, but far better to consume it orally than apply it topically.
Lemon Oil;Worst;Irritant, Fragrance: Synthetic and Natural, Plant Extracts;;Commonly used citrus oil that can be a skin sensitizer, especially on abraded skin. Lemon oil has limited research proving any benefits for skin. As with many fragrant oils, lemon oil has antioxidant components that can be beneficial, but there’s no valid reason to tolerate the bad to get the good. Lemon oil contains numerous fragrance chemicals that can cause a reaction when on skin that’s subsequently exposed to sunlight. Examples of the fragrance chemicals in lemon oil include limonene, bergapten, and oxypeucedanin. Although it smells great, fragrance is not skincare! The major fragrance chemical in lemon oil is limonene.
Lentil Fruit Extract;Good;Plant Extracts, Antioxidant;Anti-Aging;Extract from the plant Lens esculenta that functions as a skin-softening agent and likely has antioxidant benefit, too.
Lentinus Edodes Extract;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;Extract from the shiitake mushroom that may have beneficial properties, although it could be a potential skin sensitizer.
Leontopodium Alpinum (Edelweiss) Extract;Best;Antioxidant, Plant Extracts;Soothing;Edelweiss is a plant extract whose constituents are capable of providing antioxidant and skin-soothing benefit for skin. Edelweiss contains lignans, one of the constituents that have a natural skin-calming benefit. Edelweiss also contains a compound known as leontopodic acid, which research has shown strengthens skin’s barrier and helps reduce signs of sensitivity. In doing so, it helps skin’s surface become more resistant to environmental aggressors, including some types of airborne pollutants.
Leptospermum Scoparium Oil;Best;Emollient, Plant Extracts, Antioxidant;Hydration, Anti-Aging;
Leucine;Best;Humectant;Hydration;Amino acid.
Leuconostoc/Radish Root Ferment Filtrate;Good;Plant Extracts, Preservative;;A preservative created by fermenting Raphanus sativus (radish) roots with the microorganism, Leuconostoc, a bacteria from lactic acid. Small amounts (typically 0.5%) are used in cosmetics to protect them from a wide range of harmful substances that can contaminate the product and alter its effectiveness. Interestingly, the two compounds believed to be responsible for this ingredient’s preservative action are salicylic acid and an ammonium salt. It seems neither comes from fermentation, but is present because these ingredients are used in soil to manage the growth of radishes, ensuring consistent sizes and coloration.
Levisticum Officinale Root Extract;Worst;Fragrance: Synthetic and Natural, Plant Extracts;;
Licorice Extract;Best;Antioxidant, Plant Extracts;Dark Spot Fading, Soothing, Anti-Aging;Plant extract that has skin-soothing properties. In addition, licorice root may be effective in improving the look of an uneven skin tone. One of its components, known as glabridin, is a potent antioxidant and skin-soothing ingredient, which is why licorice often shows up in products meant for sensitive, reddened skin.
Licorice Root;Best;Antioxidant, Plant Extracts;Dark Spot Fading, Soothing, Anti-Aging;
Lilium Candidum Bulb Extract;Average;Plant Extracts;;Extract derived from the white lily bulb. There is no research showing this has any benefit for skin.
Lime Oil And Extract;Worst;Fragrance: Synthetic and Natural, Irritant, Plant Extracts;;Citrus fruit whose volatile compounds are skin sensitizers and photosensitizers. Lime oil is a known fragrance sensitizer that contains the fragrance chemicals bergapten and limonene, both of which can cause what’s known as a photosenstive reaction when applied to skin. A phototoxic reaction can result in a patchy, uneven appearance to skin. Although lime extract and oil may have some antioxidant activity, their sensitizer potential outweighs any benefit.
Limnanthes Alba;Best;Plant Extracts, Antioxidant;Anti-Aging;"Plant commonly known as meadowfoam; its seed oil is a non-volatile plant oil used as a skin-softening agent."
Limnanthes Alba (Meadowfoam) Seed Oil;Best;Emollient, Occlusive/Opacifying Agent, Plant Extracts;Hydration;"Limnanthes alba (meadowfoam) seed oil is a non-fragrant, edible plant oil originally developed as an agricultural crop in the 1950s. It functions as an emollient and softening agent in skin care and hair care products.
This plant oil is exceedingly stable because it is primarily composed of long chain fatty acids, the type most resistant to rancidity when exposed to oxygen. Among plant oils, meadowfoam has the highest concentration (95%) of these highly stable fatty acids, making it a valuable addition to products that would otherwise be prone to spoiling quickly.
Meadowfoam seed oil contains two compounds known as glucosinolate derivatives, 3-methoxybenzyl isothiocyanate (MBITC) and 3-methoxyphenyl acetonitrile. Research has shown these compounds can inhibit collagen-degrading enzymes in skin and help offset the negative impact of UVB light exposure (but just to be clear, these ingredients do not replace the need for broad spectrum sunscreen).
The glucosinolate derivatives are not direct antioxidants (indeed, meadowfoam seed oil isn’t a good source of antioxidants), but they can positively influence skin’s own antioxidant defenses, which is a nice benefit.
Meadowfoam seed oil can also enhance the penetration of other ingredients into soil and across animal skin; however, to date the same benefit hasn’t been shown to occur on human skin. On the upside, the long-chain fatty acids in this plant oil have chemical similarity to some of the fatty acids found in skin’s own oil, so in theory it’s certainly possible meadowfoam oil would help deliver other oil-based (lipophilic) ingredients to skin."
Limnanthes Alba Seed Oil;Best;Emollient, Plant Extracts, Occlusive/Opacifying Agent;Hydration;
Limonene;Worst;Fragrance: Synthetic and Natural, Irritant, Plant Extracts;;"Like most volatile fragrance components, limonene also has strong antioxidant benefits and has also been shown to calm skin; however, when exposed to air these highly volatile antioxidant compounds oxidize and become capable of sensitizing skin."
Linalool;Worst;Fragrance: Synthetic and Natural, Irritant, Plant Extracts;;Fragrant component of lavender and coriander that can be a potent skin sensitizer.
Linden Flower Extract;Best;Antioxidant, Plant Extracts;Anti-Aging, Hydration;Major active constituents in linden are flavonoids and glycosides. Flavonoids are potent antioxidants and glycosides are monosaccharides that have water-binding properties.
Linoleic Acid;Best;;;Unsaturated omega-6 fatty acid found in corn, safflower, and sunflower oils and used as an emollient and thickening agent in cosmetics. There is some research showing it to be effective as a skin restorative, an antioxidant and as a skin-soothing agent.
Linolenic Acid;Best;Emollient, Cleansing Agent;Hydration;Naturally occurring, colorless polyunsaturated fatty acid liquid that functions as a skin-conditioning agent and skin-restorative ingredient. Also known as alpha-linolenic acid, this ingredient is a plant-based omega-3 fatty acid that occurs in vegetable oil and flax seed oil as well as canola and soy oils. Walnuts are a top dietary source of this fatty acid. Linolenic acid has research showing topical application helps improve many skin concerns.
Linum Usitatissimum (Linseed) Seed Oil;Best;Emollient, Antioxidant, Occlusive/Opacifying Agent;Anti-Aging, Hydration, Soothing;"Linum usitastissimum (linseed) seed oil is more commonly known as flaxseed oil. It’s a significant plant source of omega fatty acids, primarily an omega-3 fatty acid (linolenic acid) that’s been shown to have a soothing effect on skin.
These polyunsaturated fatty acids, which also include oleic, linoleic, palmitic and stearic acids, enhance skin’s hydration by preventing moisture loss. Linseed/flax oil has been shown to penetrate skin’s uppermost layers easily, carrying other beneficial ingredients with it (but those ingredients also have to be oil soluble so, for example, linseed wouldn’t be a good carrier for water-soluble vitamin C but is great for delivering oil-soluble vitamin E).
Linseed oil is also a top source of lignans, phenolic plant compounds that have antioxidant ability."
Linum Usitatissimum Extract;Best;Plant Extracts;;
Lipid;Best;Emollient, Occlusive/Opacifying Agent;Hydration;Wide range of ingredients found in plants, animals, and human skin. In skincare products, these are emollients and thickening agents.
Liposomes;Good;Suspending/Dispersing Agent;;Delivery system (not an ingredient) capable of holding other ingredients and releasing them after the liposome is absorbed into the skin. Liposomes are microscopic lipid (fat) sacs that are widely used as a way to deliver other ingredients into skin.
Lithium Magnesium Sodium Silicate;Good;Texture Enhancer;;Synthetic silica-based clay composed of lithium, sodium, and magnesium. Used as a thickening agent and an absorbent.
Lithospermum Erythrorhizon;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;Also known as gromwell, the root of this plant is believed to have antioxidant and skin-soothing activity.
Litsea Cubeba;Worst;Fragrance: Synthetic and Natural, Irritant;;
Litsea Cubeba Fruit Extract;Worst;Fragrance: Synthetic and Natural, Irritant;;
Locust Bean;Good;Texture Enhancer, pH Adjuster/Stabilizer;;
Lonicera Caprifolium Flower Extract;Best;Plant Extracts;Soothing;Lonicera caprifolium flower extract is a plant extract that functions as a skin-soothing agent. It is a very good source of flavonoids and saponins, constituents that occur in many plants and convey antioxidant benefit.
Lonicera Japonica;Best;Plant Extracts;Soothing;Honeysuckle extract. A plant with soothing properties for skin.
Lonicera Japonica Flower Extract;Best;Plant Extracts;Soothing;
Loquat Extract;Best;Antioxidant, Plant Extracts, Humectant;Anti-Aging, Hydration;Extract derived from a subtropical flower that has antioxidant properties similar to those of green tea.
Lotus Seed Extract;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;Extract that can have skin-soothing and antioxidant properties.
Lovage Root Extract;Worst;Fragrance: Synthetic and Natural, Plant Extracts;;Used as a fragrance.
Lupine;Best;Antioxidant, Plant Extracts;Anti-Aging;
Lupine Oil;Best;Antioxidant, Emollient, Plant Extracts;Hydration, Anti-Aging;
Lupinus Albus (White Lupine) Seed Oil;Best;Antioxidant, Emollient, Plant Extracts;Anti-Aging, Hydration, Soothing;"Lupinus albus (white lupine) seed oil is a non-fragrant plant oil whose unsaturated fatty acid content consists primarily of oleic and erucic acids. Oleic acid can help beneficial compounds in plant oils and extracts penetrate further into skin, while omega-9 fatty acid erucic acid works with the other fatty acids in this plant oil to hydrate and strengthen skin. Lupine seed oil also contains omega-3 linolenic acid and omega-6 linoleic acid, both of which help calm skin and visibly repair its barrier. Moving away from fatty acid content, white lupine oil is also high in protein and a good source of the hydrating amino acid lysine. Note that the seed oil from this plants comes in bitter and sweet varieties; the bitter form contains a much higher amount of substances known as alkaloids, which are potential skin sensitizers. The sweet form, which is what Paula's Choice uses, only contains trace levels of these problematic compounds, too low to upset skin. The sweet form of this plant oil is a better source of antioxidant vitamin E, but both types are respectable sources of antioxidants."
Lupinus Albus Seed Extract;Best;Antioxidant, Plant Extracts;Anti-Aging;Lupinus albus seed extract is a non-fragrant plant extract that serves as a beneficial source of fatty acids and antioxidants for skin.
Lutein;Best;Antioxidant, Plant Extracts, Humectant;Anti-Aging;Carotenoid that has antioxidant properties.
Lycium Barbarum Fruit Extract;Best;Antioxidant, Plant Extracts;Anti-Aging, Hydration;The extract of the fruit commonly known as goji, goji berry, or wolfberry. This fruit extract is an antioxidant and also works as a skin-softening agent.
Lycopene;Best;Antioxidant, Plant Extracts;Anti-Aging;Carotenoid pigment that has antioxidant properties (Source: Photochemistry and Photobiology, May 2002, pages 503-596).
Lye;Worst;Irritant, pH Adjuster/Stabilizer;;
Lysine;Best;Humectant, Antioxidant;Hydration, Anti-Aging;Amino acid.
Lysine HCI;Best;Humectant, Antioxidant;Hydration, Anti-Aging;An amino acid salt that may be animal-derived or made in a lab (Paula's Choice uses the latter type). Like all amino acids and derivatives, lysine HCI plays a role in keeping skin hydrated by aiding the balanced transport of water through skin's layers. Lysine also plays a role in helping skin produce supportive substances that keep it looking smooth and youthful.
Lysophosphatidylethanolamine;Best;Humectant;Hydration, Dark Spot Fading;
Macadamia Nut Oil;Good;Emollient, Plant Extracts;Hydration;Used in cosmetics as an emollient for dry skin.
Macrocystis pyrifera (Kelp) Extract;Good;Antioxidant, Plant Extracts;Anti-Aging, Soothing, Hydration;
Madecassoside;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;Madecassoside is of four principal bioactive compounds in the plant extract Centella asiatica. One double-blind study has shown even small amounts of this compound (0.1% in one case) combined with vitamin C have antioxidant benefit when applied to skin, and it serves as an antioxidant in its own right. Studies also show it is non-sensitizing and can help revitalize skin’s surface.
Magnesium;Good;Absorbent, Humectant;Oil Control, Hydration;Earth mineral that has strong absorbent properties.
Magnesium Aluminum Silicate;Good;Texture Enhancer, Absorbent;Oil Control;Magnesium aluminum silicate is derived from clay. This absorbent, dry-feeling, white solid is used as a thickening agent and powder in cosmetics.
Magnesium Ascorbyl Palmitate;Good;Antioxidant, Humectant;Anti-Aging, Hydration;Fatty acid-based derivative of vitamin C that can be an effective antioxidant. Research shows this form of vitamin C is less stable than others such as magnesium ascorbyl phosphate, which is why we don’t rate it as highly as other forms of vitamin C.
Magnesium Ascorbyl Phosphate;Best;Antioxidant, Humectant;Anti-Aging, Hydration;It is considered safe as used in cosmetics.
Magnesium Aspartate;Good;Humectant;Hydration;The magnesium salt of aspartic acid, an acidic amino acid that plays a role in maintaining proteins in skin. In cosmetics, magnesium aspartate acts as hydrating and softening ingredient. It may be animal-derived or manufactured in a lab (Paula's Choice uses the latter). Magnesium aspartate is considered safe as used in cosmetics, and is non-irritating and bioavailable to skin. L
Magnesium Carbonate;Good;pH Adjuster/Stabilizer, Absorbent, Texture Enhancer;Oil Control;Inorganic mineral salt used as an absorbent, opacifying agent, coloring agent, or to adjust the pH of cosmetic products.
Magnesium Hydroxide;Good;Absorbent, pH Adjuster/Stabilizer, Occlusive/Opacifying Agent;Oil Control;Active ingredient in milk of magnesia. It is an absorbent properties for skin.
Magnesium Laureth Sulfate;Good;Cleansing Agent;;Mild cleansing agent.
Magnesium Oleth Sulfate;Good;Cleansing Agent;;Mild cleansing agent.
Magnesium Palmitoyl Glutamate;Good;Humectant;Hydration;Magnesium palmitoyl glutamate is an amino acid (glutamic acid) and mineral (magnesium) blend that conditions and softens skin. It can be synthetic, animal-derived, or can come from plants, with Paula's Choice opting to use the plant-derived version. Magnesium palmitoyl glutamate is often used as part of a blend with other amino acids. It is considered safe as used in cosmetics. The magnesium portion easily penetrates skin's uppermost layers where it delivers this micro-nutrient's hydration-boosting benefits.
Magnesium PCA;Best;Humectant;Hydration;"Magnesium PCA is the magnesium salt of PCA (pyrrolidone carboxylic acid), which is part of skin's intercellular matrix. Magnesium PCA therefore plays an influential role in what's known as skin's natural moisturizing factor. As an electrolyte mineral, magnesium plays a role in enhancing skin hydration and barrier repair. It also influences how skin cells move through skin's surface layers, how they shed, and how skin responds to external stimuli. Interestingly, pure magnesium and some forms such as magnesium chloride have a difficult time penetrating skin; however, linking magnesium with PCA or lactic acid (as in magnesium lactate) helps to overcome this issue, allowing skin to benefit."
Magnesium Stearate;Good;Texture Enhancer, Coloring Agent/Pigment;;Used as a texture enhancer in cosmetics.
Magnesium Sulfate;Good;Texture Enhancer;;Commonly known as Epsom salt, a magnesium salt used as a texture enhancer.
Malic Acid;Best;Exfoliant, pH Adjuster/Stabilizer;Evens Skin Tone, Smooths Bumpy Skin;In foods, malic acid is sometimes added to impart a sour or tart flavor. In its raw form, malic acid appears as white or colorless crystals. It is considered safe as used in leave-on and rinse-off cosmetics.
Mallow;Best;Texture Enhancer, Plant Extracts;Soothing;Can be used as a texture enhancer in cosmetics and may have skin-soothing properties.
Malpighia Emarginata (Acerola) Fruit Extract;Best;Antioxidant, Plant Extracts;Anti-Aging;"Acerola fruit extract is a potent source of antioxidants and hydrating polysaccharides, some of which have been shown to protect fibroblasts in skin from suffering oxidative damage, which in turn leads to younger-looking skin.
The fruit is rich in vitamin C, beta-carotene, several polyphenols (all working as antioxidants), and the B vitamin folate.
The yellow- to red-toned ripe acerola fruit can also prevent lipids such as our skin’s oil from free radical damage. It’s truly a multi-faceted antioxidant plant extract that can benefit all skin types and is also a proven “superfood” ingredient that has been shown to benefit skin when consumed orally, largely due to its ability to reduce inflammation. Acerola is sometimes referred to as Barbados cherry or the acerola cherry."
Maltodextrin;Good;Absorbent, Film-Forming Agent, Humectant;Oil Control, Hydration;A plant-based sugar created by hydrolyzing a saccharide with starch from corn, potato, or rice. Maltodextrin does many things in cosmetic products, including absorbent, binding agent, stabilizer, film-forming agent, and skin-softener.
Maltooligosyl Glucoside;Good;Humectant, Film-Forming Agent, pH Adjuster/Stabilizer;Hydration;Maltooligosyl glucoside is a carbohydrate polysaccharide that’s naturally-derived and then combined with a starch. It has multiple functions in cosmetics, including binding agent, emulsifier, hydrator, texture enhancer, and film-forming agent. An alternative to glycerin, maltooligosyl glucoside gives cosmetic products a smooth feel and is believed to provide soothing benefits.
Malvaceae Extract;Average;Plant Extracts;;Extract from plants of the Malvaceae family, which includes over 1,000 species, found in tropical and temperate regions the world over. Their varying benefits and problems are diverse. Consequently, if “Malvaceae” is present on a cosmetic ingredient label, it is misleading, because each of the 1,000 species has its own pros and cons.
Malva Sylvestris Extract;Good;Plant Extracts, Antioxidant;Soothing;Extract from the blue mallow flower, it may have some skin-soothing properties for the skin, as well as some potential antioxidant benefits.
Mandarin Orange Oil Or Extract;Worst;Fragrance: Synthetic and Natural, Irritant;;"Primarily used as a fragrance; it can be a skin sensitizer. There is no research showing it has any benefit when applied topically."
Mandelic Acid;Good;Exfoliant;Smooths Bumpy Skin, Evens Skin Tone;A couple studies have shown that mandelic acid and salicylic acid worked well together in a higher-strength peel for use on darker skin tones struggling with discolorations, including post-acne marks. However, what we don’t know is how well mandelic acid would’ve worked on its own - it’s possible the results were more from salicylic acid than the combination of the two acids. Other research has shown mandelic acid can increase sebum (oil) production, which isn’t great for oily skin but would be a benefit for dry skin.
Manganese Gluconate;Average;Humectant, Antioxidant;Anti-Aging, Hydration;Mineral found in trace amounts in tissues of the body. While manganese plays a vital role in the processes of many body systems, there is no evidence it serves any purpose topically on skin, though it may act as an antioxidant.
Manganese Violet;Average;Coloring Agent/Pigment;;Coloring agent/additive permanently listed in 1976 by the FDA as safe for use in cosmetics products, including those for use around the eye.
Mangifera Indica (Mango) Seed Butter;Best;Emollient, Plant Extracts;Hydration;Plant-based emollient as it is a rich source of fatty acids and skin-soothing ingredients.
Mangifera Indica Root;Good;Plant Extracts, Antioxidant;Anti-Aging;"Extract derived from the mango tree; it can have antioxidant properties."
Mannitol;Good;Humectant;Hydration;A plant-derived or lab-made sugar that works in skin care to bind moisture, condition, and also help keep ingredients blended together. It works well with naturally-occurring substances in skin such as hyaluronic acid.
Manuka Honey;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;"Some comparative research shows that manuka honey doesn’t necessarily have an edge over other varieties for general skin-calming properties; however, as with any natural ingredient, the quality and how it’s sourced can impact performance in skin care formulas and on skin itself."
Manuka Oil;Good;Emollient, Plant Extracts;Hydration, Anti-Aging;"Extract derived from the New Zealand tea tree; the oil is similar to that of the Australian tea tree, Melaleuca alternifolia. Manuka oil has antioxidant properties."
Marigold;Good;Plant Extracts, Antioxidant;Soothing, Anti-Aging;
Marionberry;Good;Plant Extracts;;Fruit that has antioxidant properties.
Marjoram;Worst;Fragrance: Synthetic and Natural, Irritant;;"Herb with a fragrant component used in cosmetics; can be a skin sensitizer."
Marshmallow;Best;Plant Extracts, Texture Enhancer;Soothing;Marshmallow root extract is a flowering plant native to Africa. It’s used topically to soothe skin.
Mastocarpus Stellatus;Good;Plant Extracts;;
Mate Extract;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;
Matricaria Oil;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;
MEA;Bad;Texture Enhancer;;Abbreviation for monoethanolamine.
Medicago Sativa;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;
Medicago Sativa (Alfalfa) Extract;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;
Melaleuca Alternifolia;Average;Plant Extracts, Antioxidant;Anti-Acne;
Melaleuca Cajeputi Oil;Worst;Irritant, Plant Extracts;;There is no research showing that this oil, which is derived from a plant in the same family as the plant that is the source of tea tree oil. It may cause skin sensitivity.
Melia Azadirachta (Chinaberry) Flower Extract;Best;Antioxidant, Plant Extracts;Anti-Aging;The chinaberry is a popular plant throughout India, where use of every part of the plant can be seen in the practice of Ayurvedic medicine. It contains antioxidants known to be particularly effective in neutralizing peroxyl radicals, a type of free radical that’s widely considered among the most damaging to the body when its production isn’t modulated.
Melia Azadirachta (Chinaberry) Leaf Extract;Best;Antioxidant, Plant Extracts;Anti-Aging;Latin term for the extract from the leaf of the neem plant.
Melia Azadirachta Oil;Worst;Irritant, Plant Extracts;;
Melibiose;Good;Humectant;Hydration;Saccharide that can have good water-binding properties.
Melissa Officinalis;Worst;Fragrance: Synthetic and Natural, Plant Extracts;;
Mentha Arvensis;Worst;Irritant, Plant Extracts;;
Mentha Piperita;Worst;Fragrance: Synthetic and Natural, Irritant, Plant Extracts;;
Mentha Spicata;Worst;Fragrance: Synthetic and Natural, Irritant, Plant Extracts;;
Mentha Viridis;Worst;Fragrance: Synthetic and Natural, Irritant, Plant Extracts;;
Menthol;Worst;Irritant, Plant Extracts, Fragrance: Synthetic and Natural;;Derived from peppermint, menthol can have the same sensitizing effect as peppermint on skin. Despite its documented ability to sensitize skin, menthol is included in a surprisingly large number of products. Unfortunately, the cooling, refreshing sensation menthol causes is direct evidence that your skin is being sensitized, not soothed.
Menthone;Worst;Irritant, Fragrance: Synthetic and Natural, Plant Extracts;;Major constituent of peppermint.
Menthoxypropanediol;Worst;Irritant, Fragrance: Synthetic and Natural, Plant Extracts;;Synthetic derivative of menthol. Carries the same potential for sensitivity as menthol. Menthoxypropanediol is most often used in lip-plumping products.
Menthyl Anthranilate;Best;UV Filters;;"This sunscreen active is one of several currently undergoing further safety testing under the purview of the United States Food and Drug Administration (FDA). This testing is to gain a better understanding of the systemic absorption, metabolism, and elimination of these sunscreen actives when small amounts enter the body via topical use. It’s important to know that the presence of this or other sunscreen actives in the body does not mean your health is at risk. It is anticipated that the additional testing being done will reaffirm the safety of these ingredients; however, those who remain concerned can choose sunscreens with mineral actives (titanium dioxide and zinc oxide) which are not included in the FDA’s new call for additional testing."
Menthyl Lactate;Worst;Irritant, Fragrance: Synthetic and Natural;;The ester of menthol and lactic acid, this ingredient is used as a cooling or flavoring agent and fragrance in cosmetics. This derivative of menthol is supposed to be less sensitizing than menthol, but there’s no substantiated, pubsliehd research supporting this notion. Menthyl lactate may be synthetic, plant-derived, or animal-derived.
Meradimate;Best;UV Filters;Anti-Aging;"Also known as menthyl anthranilate, this synthetic sunscreen active is a partially effective UVA sunscreen, but because it only protects up to 336 nanometers, it does not make the grade for providing sufficient UVA protection on its own.
This sunscreen active is one of several currently undergoing further safety testing under the purview of the United States Food and Drug Administration (FDA). This testing is to gain a better understanding of the systemic absorption, metabolism, and elimination of these sunscreen actives when small amounts enter the body via topical use. It’s important to know that the presence of this or other sunscreen actives in the body does not mean your health is at risk. It is anticipated that the additional testing being done will reaffirm the safety of these ingredients; however, those who remain concerned can choose sunscreens with mineral actives (titanium dioxide and zinc oxide) which are not included in the FDA’s new call for additional testing."
Methanol;Worst;Irritant;;
Methicone;Good;Silicone, Emollient;Hydration;Methicone is one of the simpler silicones due to its less complex molecular structure. It helps give skin products a silky feel and helps skin retain moisture.
Methionine;Good;Antioxidant, Humectant;Anti-Aging, Hydration;
Methylchloroisothiazolinone;Worst;Preservative, Irritant;;In combination with methylisothiazolinone, it goes by the trade name Kathon CG (among others). Introduced into cosmetics in the mid-1970s, it elicited a great number of sensitizations in consumers. This led to it not being included in cosmetics other than rinse-off products. When combined with methylisothiazolinone, methylchloroisothiazolinone offers preservative benefit. This blend is used in many products instead of parabens, despite the fact that parabens have a better safety track record and lower incidence of causing a sensitizing reaction.
Methyldibromo Glutaronitrile;Worst;Preservative, Irritant;;Formaldehyde-releasing preservative that can also be quite sensitizing when used in leave-on products.
Methyldihydrojasmonate;Worst;Fragrance: Synthetic and Natural;;Synthetic fragrant component.
Methyl Gluceth-20;Good;Humectant;Hydration;Methyl gluceth-20 is made by combining polyethylene glycol with glucose to create a new synthetic compound that draws and holds moisture to skin.
Methyl Gluceth-20 Benzoate;Good;Emollient, Texture Enhancer;Hydration;Methyl gluceth-20 benzoate is a synthetic ester and emollient used to improve product spreadability. It combines methyl gluceth-20 and benzoic acid.
Methyl Glucose Sesquistearate;Good;Emollient, Emulsifier;Hydration;The Cosmetics Ingredient Review Panel has determined that methyl glucose sesquistearate is safe as used in skin care and hair care products. Their assessment cited research that found even in amounts up to 100%, methyl glucose sesquistearate did not irritate skin.
Methylglucoside Phosphate;Good;Humectant;Hydration;A type of monosaccharide (simple sugar) derived from glucose, it serves as a skin-softening agent in cosmetic products.
Methylisothiazolinone;Worst;Preservative, Irritant;;Preservative that’s generally recommended for use only in rinse-off products such as cleansers or shampoos. Methylisothiazolinone is known to be sensitizing when used in leave-on products. Its use in both rinse-off and leave-on cosmetics products is restricted to low amounts as a means to avoid sensitivity while maintaining its efficacy as a preservative, but even in the low amount permitted (0.01%) has raised questions about it being more sensitizing than most other preservatives.
Methylparaben;Good;Preservative;;We appreciate the concern about parabens and understand if people choose to avoid them. At Paula’s Choice Skincare we use parabens in a very limited number of products, but that decision is based on other reasons than the scare tactics rampant on the internet. For transparency, we list all ingredients on individual product pages and packaging and our Client Services team is always happy to help.
Methylpropanediol;Good;Solvent, Humectant;Hydration;During their evaluation in June 2018, the panel of experts for the Cosmetic Ingredient Review council recognized methylpropanediol as a safe ingredient as traditionally used in cosmetic in products.
Methylsilanol Mannuronate;Good;Humectant;Hydration;
Methylsilanol PEG-7 Glyceryl Cocoate;Good;Emollient, Texture Enhancer;Hydration;A glyceryl ester used as an emollient and texture enhancer in cosmetics.
Methylsufonylsulfate;Good;Antioxidant;;
Methyl Trimethicone;Good;Silicone, Emollient;Hydration;
Mexoryl SX;Best;UV Filters;Anti-Aging;
Mica;Good;Coloring Agent/Pigment, Texture Enhancer, Occlusive/Opacifying Agent;;In recent years, controversial child labor practices around mining mica have been exposed. For ethical sourcing, companies can choose suppliers who are members of the Responsible Mica Initiative (RMI). Paula’s Choice only uses suppliers of mica who are RMI affiliated.
Microcrystalline Wax;Good;Texture Enhancer, Occlusive/Opacifying Agent;;Microcrystalline wax is a plastic-type, highly refined wax derived from petroleum and purified for use in cosmetics. Used as a thickener and to give products a semi-solid to solid smooth texture.
Microcystis Aeruginosa;Good;Plant Extracts, Antioxidant;Anti-Aging;Latin name for spirulina.
Milk Protein;Good;Humectant;Hydration;
Milk Vetch Root;Good;Plant Extracts, Antioxidant;Anti-Aging;Root with potential antioxidant properties, although there isn’t conclusive research that it functions that way when applied topically.
Millet Seed Extract;Average;Humectant;Hydration;Extract from a cereal grain that has no established benefit for skin, but is added to cosmetic formularies as a skin-softening agent.
Mimosa Oil Or Extract;Worst;Fragrance: Synthetic and Natural;;Extract used as a fragrance in cosmetics.
